Time,Screen Name,Tweet,Followers,RT
,@HerPinkBox4You,,,
,@Arshloc,,,
,@Martine_573,,,
,@Allequal1,,,
,@MaryDram,,,
,@GeraldMStyles,,,
,@MyGood_Health1,,,
,@paulhaganrea,,,
,@5thCDWIDems,,,
,@5thCDWIDems,,,
,@leastimnotu,,,
,@MansukhaniNeil,,,
,@leastimnotu,,,
,@IsisOfMine,,,
,@JeffreyAReddick,,,
,@ksophisticatedk,,,
,@donorlinks,,,
,@JeffreyAReddick,,,
,@ssschultze,,,
,@HolmesNZ,,,
,@DrAnd14,,,
,@LoveWins_Dating,,,
,@ruthieshusband,,,
,@jamesbryronlove,,,
,@Meshalx98,,,
,@sipmistr,,,
,@jconlaw23,,,
,@Bestiari1,,,
,@NaufyRaoul,,,
,@SpiritualMarie,,,
,@bellanatividad,,,
,@brothasoap,,,
,@BestiariMuseu,,,
,@Maxmax216,,,
,@brothasoap,,,
,@jconlaw23,,,
,@brothasoap,,,
,@jconlaw23,,,
,@MoniMonyx,,,
,@vernonmorgan02,,,
,@sharkchittur,,,
,@TheShakNasty,,,
,@PaolaNy2,,,
,@Emma_Adorer,,,
,@Rosy9x,,,
,@Airwaysfoodie,,,
,@APShanks,,,
,@Rob_lan9,,,
,@Doob_MarO,,,
,@AchaMarJao_,,,
,@JessMoentadj,,,
,@Dima_Alessa,,,
,@jxsmineeee_,,,
,@SaraMontaldi,,,
,@IzerGibson,,,
,@Jennyfedez,,,
,@Kia_8RP,,,
,@TimKGray,,,
,@xstar_angel,,,
,@zanderstar,,,
,@SuzyRuggles,,,
,@BulliesKeepOut,,,
,@mayra_cali,,,
,@Marisol13406,,,
,@LuluMotown,,,
,@moniquelai,,,
,@TheWooApp,,,
,@_t_a_s_n_x_x_m_,,,
,@JayePleasant,,,
,@dannyadam88,,,
,@carterseagrove,,,
,@michelle_Y26,,,
,@mozartmama,,,
,@outloud_say,,,
,@ura_modi,,,
,@Waymond2609,,,
,@mrsmercedesb,,,
,@aathompson44,,,
,@zHTempest14IM,,,
,@PrntsMgzine,,,
,@aathompson44,,,
,@Trizzzy_T,,,
,@JasonDaRuler,,,
,@snackysmores,,,
,@WymanLynne,,,
,@carlaghione,,,
,@LuckaF9,,,
,@aathompson44,,,
,@official__talal,,,
,@spiritva,,,
,@JON_AFTERWAR,,,
,@k8Elligatori4,,,
,@momofeak,,,
,@hoodedrebels,,,
,@Stroll_Florence,,,
,@mrbuffs,,,
,@uRbeaner462k9,,,
,@Zoe7030,,,
,@DanaJacoviello,,,
,@UnknwGuy,,,
,@NC_Zero,,,
,@LDemaere,,,
,@vicmassarelli,,,
,@LeezVr,,,
,@NC_Zero,,,
,@befouryouth,,,
,@blakjaxx,,,
,@arcticzee,,,
,@iamdancingmuffi,,,
,@DewulfKelsey,,,
,@MrBiodun,,,
,@GlenysVargas,,,
,@eviehome,,,
,@JenMurray41,,,
,@MrBiodun,,,
,@LifeOfOneLove,,,
,@TheWooApp,,,
,@taengguuk,,,
,@Katiethecarlady,,,
,@dimsadtya,,,
,@bloemenstyling,,,
,@MaryMRaines,,,
,@LifeOfOneLove,,,
,@IssuesVoter,,,
,@Rynkman,,,
,@thevalkirias,,,
,@laurencabeyow,,,
,@0vahcapsize_,,,
,@xbeccajx_,,,
,@thayygms,,,
,@Commitmag,,,
,@Erica62405,,,
,@deliiinnaa,,,
,@andreaglevine,,,
,@TheRealMsMurphy,,,
,@YesEqualityNI,,,
,@Walt_media_info,,,
,@debrawright1771,,,
,@debrawright1771,,,
,@FansMeet1D,,,
,@TapsDinnybbe,,,
,@liyaJ81,,,
,@kharyp,,,
,@SterolineX1,,,
,@cdlacy,,,
,@TheVillageLink,,,
,@cdlacy,,,
,@ShelleyGazz1466,,,
,@AuthorLilaVale,,,
,@france_chiasson,,,
,@JayMaria2k12,,,
,@MsLagerfelt,,,
,@alyssasingson,,,
,@ChancellorDaws,,,
,@ResLegalDiva,,,
,@bryllalo,,,
,@roselle021412,,,
,@LightwoodBane96,,,
,@roselle021412,,,
,@chipke7,,,
,@MatrimonioGayUk,,,
,@lippolife,,,
,@ResLegalDiva,,,
,@alwalleD2013,,,
,@bend_time,,,
,@AllenBongco,,,
,@TruthfulLiquor,,,
,@MyGood_Health1,,,
,@kiharukitty,,,
,@hansgbautista,,,
,@GiselleDelgado,,,
,@stydiobrien,,,
,@emma_grns,,,
,@FFCCOOLJC,,,
,@Asher25,,,
,@xblackstairs,,,
,@TeenKpopHunter,,,
,@ShooksToGo,,,
,@ShadowMarauders,,,
,@Beepboopzzt,,,
,@AccioMalec_,,,
,@PercelineAizle,,,
,@japindo87,,,
,@caputmundiHeidi,,,
,@MalecsShadow,,,
,@NeriPandina,,,
,@brooks_angy,,,
,@GroundedGiver,,,
,@LightwoodBane96,,,
,@hasliniazmi034,,,
,@brooks_angy,,,
,@caputmundiHeidi,,,
,@voidaddario,,,
,@chelthompson99,,,
,@debrawright1771,,,
,@SasaRichardson,,,
,@DDownesD,,,
,@CaliKay10,,,
,@SasaRichardson,,,
,@calibrastiles,,,
,@ynusia,,,
,@susieloves5sos,,,
,@sweatshirt_red,,,
,@idkitssophia,,,
,@buckybarnesing,,,
,@clarkesbiscuit,,,
,@ShadowMarauders,,,
,@LightwoodBane96,,,
,@GallavichMalec,,,
,@lindsaymaura,,,
,@sarahdavid77,,,
,@buteraballads,,,
,@MandySullivin,,,
,@G0Z1_17430202,,,
,@starspanglenman,,,
,@ShadowMarauders,,,
,@ScottyMcGlynn,,,
,@tryingtoscream,,,
,@Kassioppe,,,
,@ana_michaelsen,,,
,@_nicolegemmell,,,
,@dompuppy,,,
,@sizzysaphael,,,
,@CandiceAFp,,,
,@G0Z1_17430202,,,
,@LushLawyer,,,
,@yama_pi_9110,,,
,@yama_pi_9110,,,
,@VickiMalacyne12,,,
,@jedifray,,,
,@xmasboyvt,,,
,@hotdaddario,,,
,@DVDDYOREO,,,
,@AkhimullahM,,,
,@KoyaMarten,,,
,@irfyandi,,,
,@Luis333LKNG,,,
,@gaynewsradio,,,
,@dobb37,,,
,@EpulKemal,,,
,@ka_moll,,,
,@AenYahidin,,,
,@CathyPegau,,,
,@queeenmiller,,,
,@brutzchel,,,
,@SakuMorgenstern,,,
,@FcknxLarried,,,
,@The_SheenaMarie,,,
,@wilmichaeldemp,,,
,@harrysdaddario,,,
,@gettinhighalldr,,,
,@tleestein,,,
,@stydiamypillow,,,
,@handmaiden4life,,,
,@cristfarias,,,
,@marleyxhs,,,
,@brxveharry,,,
,@LouisIsABottom,,,
,@Dml62Doug,,,
,@o2bwiser,,,
,@Hsewvs_n_pols,,,
,@Dml62Doug,,,
,@LGBT_Activist,,,
,@Dml62Doug,,,
,@SymphonyMind,,,
,@LisaKelly2013,,,
,@RecreioGringo,,,
,@MuisiCrazy,,,
,@TheDeathKnight,,,
,@pieldenopal,,,
,@Jmrpportugal,,,
,@slayersins,,,
,@NordicBaltLGBT,,,
,@David26318630,,,
,@Viny_san,,,
,@AllAroundMBrown,,,
,@SouthOVegas,,,
,@Herondale666,,,
,@LadyComyn,,,
,@harphan75,,,
,@Prolitarea,,,
,@ChaosRind,,,
,@boredinohio2,,,
,@elchapoje,,,
,@Maria_Giesela,,,
,@LwaziM6,,,
,@lendogli,,,
,@cobaltskky,,,
