Time,Screen Name,Tweet,RT,Followers
,@panderkin41,,,
,@Texgalleslie,,,
,@Good2bqueen67,,,
,@LeahR77,,,
,@TrumpSelfFunds,,,
,@consmover,,,
,@wyomobe,,,
,@1skycaptain,,,
,@charlesfowler,,,
,@onsafari2010,,,
,@Consmover2,,,
,@jstines3,,,
,@MadMaxLaxTex,,,
,@enord1,,,
,@SylviaHandwerg4,,,
,@RonDonahoe,,,
,@Diamond0540,,,
,@trinalovestianr,,,
,@laurape00486139,,,
,@HHanspk2,,,
,@Elizabe37102834,,,
,@jimdesermeau,,,
,@joshuawoodz,,,
,@4038492846Mason,,,
,@RightAsRain7,,,
,@dignitasnews,,,
,@RJ_STL,,,
,@RebeccaFinley91,,,
,@CFluharty,,,
,@RealNinjetta,,,
,@CFluharty,,,
,@JoxuaLuxor,,,
,@StadiumHopper,,,
,@McnealyGeorge,,,
,@Karee_news,,,
,@MartinConnlynnm,,,
,@steph93065,,,
,@Trump_2O16,,,
,@Karee_news,,,
,@AmyAmyMitro,,,
,@valley308,,,
,@jims348,,,
,@cecilf40,,,
,@Melissa4TedCruz,,,
,@tjritter79,,,
,@Shaun_Kulish,,,
,@gagliano_b,,,
,@enord1,,,
,@andrea02234863,,,
,@kimberannrose,,,
,@sassysassyred,,,
,@zap_joe,,,
,@alanlieb,,,
,@speedingisfun,,,
,@angrycitzen52,,,
,@CraigManoukian,,,
,@jstines3,,,
,@Gayleramsey11,,,
,@gagliano_b,,,
,@newconservny,,,
,@DavesGrill,,,
,@RonOceano,,,
,@MrEdTrain,,,
,@carlsl,,,
,@HameetmanA,,,
,@iwasimc,,,
,@GuacBowls,,,
,@rsultzba,,,
,@JoeHerren,,,
,@triumphant_wave,,,
,@wordsrfree,,,
,@ar20org,,,
,@gerkius,,,
,@LibertyNow10,,,
,@francesdavis78,,,
,@Grumpy4x,,,
,@Dank_311,,,
,@JL02048628,,,
,@LodiSilverado,,,
,@CEZZ1032,,,
,@cpcllc,,,
,@crosswindlive,,,
,@lionsoftrump,,,
,@trumpcountry,,,
,@JWNCoachBru,,,
,@ofpeopl,,,
,@BirmanMichael,,,
,@straighttalk838,,,
,@JoeHerren,,,
,@1612house,,,
,@WarriorsHart444,,,
,@diggerdigwell,,,
,@Wes_St_Clair,,,
,@PatrickFN63,,,
,@DClay49,,,
,@Tellzitru,,,
,@MoBleeps,,,
,@kelpac,,,
,@Free_All_Women,,,
,@daverwin,,,
,@NavyVets4Trump,,,
,@lin1943,,,
,@Girldejablue,,,
,@sher747,,,
,@BB1fanTambra,,,
,@DannyLynnRutle1,,,
,@wakeuppeopleSOS,,,
,@northonsixty1,,,
,@KimMoor20918476,,,
,@RobertDagley,,,
,@ChadHarsma,,,
,@JReminisce,,,
,@Lizdolan,,,
,@scottrhawley,,,
