Time,Screen Name,Tweet,RT
7:01:00,@barbya1,"RT @DanScavino: Reuters National GOP Poll Looks like another broken ""CEILING!"" #MakeAmericaGreatAgain #Trump2016 https://t.co/HEhDIbRf5T",902
7:01:00,@madscape,RT @Gianluca_1970: #NoTrumpNoVote #POTUS #lastchance @realDonaldTrump #LiesToldToUs #NeverAgain #tcot #ccot #MakeAmericaGreatAgain http…,2
7:01:00,@madscape,RT @Gianluca_1970: #NoTrumpNoVote #POTUS #lastchance @realDonaldTrump #LiesToldToUs #NeverAgain #tcot #ccot #MakeAmericaGreatAgain http…,2
7:01:00,@madscape,RT @Gianluca_1970: #NoTrumpNoVote #POTUS #lastchance @realDonaldTrump #LiesToldToUs #NeverAgain #tcot #ccot #MakeAmericaGreatAgain http…,2
7:01:00,@madscape,RT @Gianluca_1970: #NoTrumpNoVote #POTUS #lastchance @realDonaldTrump #LiesToldToUs #NeverAgain #tcot #ccot #MakeAmericaGreatAgain http…,1
7:01:00,@madscape,RT @Gianluca_1970: #NoTrumpNoVote #POTUS #lastchance @realDonaldTrump #LiesToldToUs #NeverAgain #tcot #ccot #MakeAmericaGreatAgain http…,1
7:01:00,@LoxLB,RT @tponews: Trump telling it like it is! Trump fighting for Harlem! #TrumpTrain #TrumpLovesHarlem #MakeAmericaGreatAgain https://t.co/t8wa…,789
7:01:00,@drzevetchin,"RT @DanScavino: Salt Lake City, Utah #TrumpTrain🚂🇺🇸 #MakeAmericaGreatAgain #Trump2016 https://t.co/XirwegflHK",101
7:01:00,@bobandtracym,"RT @DanScavino: Salt Lake City, Utah #TrumpTrain🚂🇺🇸 #MakeAmericaGreatAgain #Trump2016 https://t.co/XirwegflHK",101
7:01:00,@look4_right,"#makeamericagreatagain,#trump2016, TOO LONG, TOO LONG. DO SOMETHING POSITIVE FOR AMERICA. https://t.co/3lNrgoEpqu",0
7:01:00,@curtismuddog,RT @loudobbsnews: Sheriff Arpaio to police @realDonaldTrump’s Arizona rally https://t.co/uqiHwB86sc #Trump2016 #MakeAmericaGreatAgain #Dob…,70
7:01:00,@TheonlyMshann,RT @LindaSuhler: Senator Jeff Sessions Endorses Donald Trump. ✔️ VOTE #Trump2016 #UTCaucus #AZPrimary #MakeAmericaGreatAgain https://t.co/c…,354
7:01:00,@BabyGirl_4Trump,#MakeAmericaGreatAgain #AlwaysTrump #TeamTrump #PAprimary #CAprimary #AZprimary #WIprimary #NEprimary #UTPrimary https://t.co/TAK7TdafdZ,1
7:01:00,@BathJames,RT @loudobbsnews: Sheriff Arpaio to police @realDonaldTrump’s Arizona rally https://t.co/uqiHwB86sc #Trump2016 #MakeAmericaGreatAgain #Dob…,70
7:01:00,@HerrschaftAnn,RT @debrapluchino: Our Heros!!!! Thank you for protecting our country. #VoteTrump #MakeAmericaGreatAgain #iPrayed4Trump #Trump2016 https…,7
7:01:00,@joyanimus,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,4112
7:01:00,@Joelpoker,#MakeAmericaGreatAgain #jobs lost again in Ca. Because of high taxes and endless regulations #Cruz2016 https://t.co/rgggwI3BDB,0
7:01:00,@Fernando74u,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,4112
7:01:00,@ShortTracks,"RT @DanScavino: Salt Lake City, Utah #TrumpTrain🚂🇺🇸 #MakeAmericaGreatAgain #Trump2016 https://t.co/XirwegflHK",101
7:01:00,@Margee11,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,4112
7:01:00,@MARILYNLEVINso1,RT @keksec__org: @realDonaldTrump Trump isn't even president yet and is already creating jobs! #MakeAmericaGreatAgain,27
7:01:00,@paigepoole00,"RT @trumpy17: Thank You, Mr. Christie!! #MakeAmericaGreatAgain!!☺🇺🇸🇺🇸 @FoxNews @CNN #dtmag https://t.co/zkMoMjgTkx",1
7:01:00,@kcgrealis,RT @loudobbsnews: Sheriff Arpaio to police @realDonaldTrump’s Arizona rally https://t.co/uqiHwB86sc #Trump2016 #MakeAmericaGreatAgain #Dob…,70
7:01:00,@scooter_annie,"RT @ChristieC733: Frontlash for TRUMP is Outpacing Backlash, as Nomination nears #MakeAmericaGreatAgain ✅ https://t.co/M9mVW6G4ma https:…",21
7:01:00,@SurfDaddy2u,FYI @megynkelly and @FoxNews and #MakeAmericaGreatAgain and @seanhannity https://t.co/VxwjaTQiHN,0
7:01:00,@totemranch613,RT @Gianluca_1970: #NoTrumpNoVote #POTUS #lastchance @realDonaldTrump #LiesToldToUs #NeverAgain #tcot #ccot #MakeAmericaGreatAgain http…,4
7:01:00,@BabyGirl_4Trump,#MakeAmericaGreatAgain #AlwaysTrump #TeamTrump #PAprimary #CAprimary #AZprimary #WIprimary #NEprimary #UTPrimary https://t.co/d4fjtRi7Ak,0
7:01:00,@RoadZombie13,#MakeAmericaGreatAgain https://t.co/JLdEMJhJ4h,0
7:01:00,@bennett1128,"RT @trump_world: ""Politicians let us down! Now Its payback time!"" @realDonaldTrump #Trump #Trump2016 #MakeAmericaGreatAgain https://t.co/el…",941
7:01:00,@barbya1,RT @DanScavino: Utah Republicans Open Caucuses to Online Voters. #VoteTrump #Trump2016 #MakeAmericaGreatAgain https://t.co/SXPjav5vKh,417
7:01:00,@GoveaJosemiguel,"RT @DanScavino: Salt Lake City, Utah #TrumpTrain🚂🇺🇸 #MakeAmericaGreatAgain #Trump2016 https://t.co/XirwegflHK",101
7:01:00,@rains6944,RT @realDonaldTrump: Thank you- New York! I love you! #MakeAmericaGreatAgain #Trump2016 https://t.co/wyjV9DgdQA,4112
7:01:00,@pdjf1,"RT @DanScavino: DONALD J. TRUMP Presidential RALLY! Salt Lake City, Utah. #VoteTrump #Trump2016 #MakeAmericaGreatAgain https://t.co/XcZKN0O…",618
7:01:00,@Holmesdonna1,"RT @SmartWomenTrump: TODAY 11:00AM MST Live Stream: Donald Trump Rally in Phoenix, AZ (3-19-16) https://t.co/umsoxIUnoY #MakeAmericaGreatAg…",3
7:01:00,@sherricreager,"RT @Stonewall_77: BUTT OUT, @MITTROMNEY #WeThePeople #GOP(e) #WakeUpAmerica #tcot #ccot #TrumpTrain #Trump2016 #MakeAmericaGreatAgain http…",736
